kappa,a,fitted_order
0.2,0.0,0.9786338291242048
0.2,0.04,0.9803531140182278
0.2,0.08,0.980295713489894
0.2,0.12,0.9852596321033914
0.2,0.16,0.9893838113364564
0.2,0.2,0.9811316537263866
0.2,0.24000000000000002,0.9866512649847988
0.2,0.27999999999999997,0.9819835117845951
0.2,0.32,0.9856185078499092
0.2,0.36,0.9862804562381241
0.2,0.39999999999999997,0.9875009368165454
0.2,0.44,0.9935107501861437
0.2,0.48,0.9925293844917619
0.2,0.52,0.9936703106600859
0.2,0.56,0.989842847658695
0.2,0.6000000000000001,0.9894338291523181
0.2,0.64,0.9791069992084384
0.2,0.68,0.9967438745313163
0.2,0.7200000000000001,0.990533212073947
0.2,0.76,0.9864504425118452
0.2,0.8,0.9950392755347387
0.2,0.8400000000000001,0.9860963848457323
0.2,0.88,0.9941440696066992
0.2,0.92,0.9933077056332357
0.2,0.9600000000000001,0.9889366299758149
0.2,1.0,0.9971712555229675
0.2,1.04,0.9815121182061673
0.2,1.08,0.9862591876900891
0.2,1.12,0.9909069967805612
0.2,1.1600000000000001,1.002534506328416
0.2,1.2,0.9992543310315416
0.2,1.24,0.9919465019303085
0.2,1.28,1.0076259130441736
0.2,1.32,1.0136961629101502
0.2,1.36,1.0313281290805343
0.2,1.4000000000000001,1.017200884774885
0.2,1.4400000000000002,1.069945735563371
0.2,1.48,1.0818812126724113
0.2,1.52,1.1004058165657538
0.2,1.56,1.1192238097135656
0.2,1.6,1.1180636452313422
2.0,0.0,0.9812286232808473
2.0,0.04,0.9900694502100175
2.0,0.08,0.9816751169667066
2.0,0.12,0.9903094830963399
2.0,0.16,0.9813672729453683
2.0,0.2,0.9903984541420966
2.0,0.24000000000000002,0.9930745099157203
2.0,0.27999999999999997,0.9947714776908018
2.0,0.32,0.9930684079669411
2.0,0.36,1.0003494495385044
2.0,0.39999999999999997,1.0019742040626536
2.0,0.44,0.9946707730724318
2.0,0.48,0.9908789658303667
2.0,0.52,1.001241396411684
2.0,0.56,1.0038384505747653
2.0,0.6000000000000001,0.9968441350472559
2.0,0.64,1.0087419761586525
2.0,0.68,0.984243448777023
2.0,0.7200000000000001,0.9905673465588125
2.0,0.76,0.9983315539629667
2.0,0.8,1.0151838172484582
2.0,0.8400000000000001,0.9980066978184258
2.0,0.88,0.9792294976215724
2.0,0.92,1.0012386552436965
2.0,0.9600000000000001,1.0089617390349463
2.0,1.0,1.0065621358124657
2.0,1.04,0.9753540025852345
2.0,1.08,1.009404702839843
2.0,1.12,0.9898429531909861
2.0,1.1600000000000001,0.9864241687030595
2.0,1.2,0.9871681570938062
2.0,1.24,1.0018056462845069
2.0,1.28,1.0067346888237576
2.0,1.32,0.9995797597927593
2.0,1.36,0.9811160469000884
2.0,1.4000000000000001,0.9971682476077378
2.0,1.4400000000000002,1.0110970473687815
2.0,1.48,1.0036712308913294
2.0,1.52,1.0068431365316746
2.0,1.56,1.010407202746922
2.0,1.6,1.0439271551675817
