run_config_hash,run_mode,regime,scheme,scheme_variant,reference,reference_power,reference_n_steps,reference_dt,n_paths,completed_paths,path_batch_size,chunk_steps,n_steps,dt,l1,l2,runtime_s,timing_scope,mean_steps_per_path,backstop_fraction
6401f6574377499d,full,A,BLT,splitting,HH,22,4194304,2.384185791015625e-07,20000,20000,512,16384,8,0.125,0.0007668064833905689,0.0009836381576849803,1168.350465422,blt-streamed-regime,8.0,0.0
6401f6574377499d,full,A,BLT,splitting,HH,22,4194304,2.384185791015625e-07,20000,20000,512,16384,16,0.0625,0.0003887431561355524,0.000499322818400748,1168.350465422,blt-streamed-regime,16.0,0.0
6401f6574377499d,full,A,BLT,splitting,HH,22,4194304,2.384185791015625e-07,20000,20000,512,16384,32,0.03125,0.00019577099231909688,0.0002510152647922745,1168.350465422,blt-streamed-regime,32.0,0.0
6401f6574377499d,full,A,BLT,splitting,HH,22,4194304,2.384185791015625e-07,20000,20000,512,16384,64,0.015625,9.862406227948964e-05,0.00012629746474743933,1168.350465422,blt-streamed-regime,64.0,0.0
6401f6574377499d,full,A,BLT,splitting,HH,22,4194304,2.384185791015625e-07,20000,20000,512,16384,128,0.0078125,4.9061184761802615e-05,6.3071950997571e-05,1168.350465422,blt-streamed-regime,128.0,0.0
6401f6574377499d,full,A,BLT,splitting,HH,22,4194304,2.384185791015625e-07,20000,20000,512,16384,256,0.00390625,2.46264720309589e-05,3.166046590269717e-05,1168.350465422,blt-streamed-regime,256.0,0.0
