sigma,alpha,level,dtmax,dtmean,method,batch,metric,error,backend
0.3,0.00875,1,0.05,0.05,Implicit,1,L1,0.0014332439617553297,cpu
0.3,0.00875,1,0.05,0.05,Implicit,1,L2,0.001816796150582781,cpu
0.3,0.00875,1,0.05,0.05,Implicit,2,L1,0.0018773075686704475,cpu
0.3,0.00875,1,0.05,0.05,Implicit,2,L2,0.002698265805603589,cpu
0.3,0.00875,1,0.05,0.05,Splitting/Adaptive,0,L1,0.0012487447258078621,cpu
0.3,0.00875,1,0.05,0.05,Splitting/Adaptive,0,L2,0.0015267025122105227,cpu
0.3,0.00875,1,0.05,0.05,Splitting/Adaptive,1,L1,0.0011879315492350302,cpu
0.3,0.00875,1,0.05,0.05,Splitting/Adaptive,1,L2,0.0014386250974852961,cpu
0.3,0.00875,1,0.05,0.05,Splitting/Adaptive,2,L1,0.001537735686498641,cpu
0.3,0.00875,1,0.05,0.05,Splitting/Adaptive,2,L2,0.002127339582755034,cpu
0.3,0.00875,1,0.05,0.05,Splitting,0,L1,0.0012487447258078621,cpu
0.3,0.00875,1,0.05,0.05,Splitting,0,L2,0.0015267025122105227,cpu
0.3,0.00875,1,0.05,0.05,Splitting,1,L1,0.0011879315492350302,cpu
0.3,0.00875,1,0.05,0.05,Splitting,1,L2,0.0014386250974852961,cpu
0.3,0.00875,1,0.05,0.05,Splitting,2,L1,0.001537735686498641,cpu
0.3,0.00875,1,0.05,0.05,Splitting,2,L2,0.002127339582755034,cpu
0.3,0.00875,1,0.05,0.021426068332563292,Adaptive Splitting,0,L1,0.0008019553159071386,cpu
0.3,0.00875,1,0.05,0.021426068332563292,Adaptive Splitting,0,L2,0.0012313215397353507,cpu
0.3,0.00875,1,0.05,0.024562352851826535,Adaptive Splitting,1,L1,0.00034739972614823353,cpu
0.3,0.00875,1,0.05,0.024562352851826535,Adaptive Splitting,1,L2,0.0004005173610479628,cpu
0.3,0.00875,1,0.05,0.01927246603970742,Adaptive Splitting,2,L1,0.00047741388722829094,cpu
0.3,0.00875,1,0.05,0.01927246603970742,Adaptive Splitting,2,L2,0.000542960367486992,cpu
0.5,-0.01125,0,0.1,0.1,Fully Truncated,0,L1,0.0015588705169004716,cpu
0.5,-0.01125,0,0.1,0.1,Fully Truncated,0,L2,0.0025402894617159557,cpu
0.5,-0.01125,0,0.1,0.1,Fully Truncated,1,L1,0.0176149805727838,cpu
0.5,-0.01125,0,0.1,0.1,Fully Truncated,1,L2,0.023564462096921566,cpu
0.5,-0.01125,0,0.1,0.1,Fully Truncated,2,L1,0.009764618991033862,cpu
0.5,-0.01125,0,0.1,0.1,Fully Truncated,2,L2,0.011720724843437431,cpu
0.5,-0.01125,0,0.1,0.1,Projected,0,L1,0.3143083878667804,cpu
0.5,-0.01125,0,0.1,0.1,Projected,0,L2,0.31431314987308223,cpu
0.5,-0.01125,0,0.1,0.1,Projected,1,L1,0.29048430264341896,cpu
0.5,-0.01125,0,0.1,0.1,Projected,1,L2,0.2911755113968212,cpu
0.5,-0.01125,0,0.1,0.1,Projected,2,L1,0.33770357440723386,cpu
0.5,-0.01125,0,0.1,0.1,Projected,2,L2,0.3390549864438106,cpu
0.5,-0.01125,0,0.1,0.1,Milstein,0,L1,0.0033254553039035,cpu
0.5,-0.01125,0,0.1,0.1,Milstein,0,L2,0.004694636585936076,cpu
0.5,-0.01125,0,0.1,0.1,Milstein,1,L1,0.017102537233362372,cpu
0.5,-0.01125,0,0.1,0.1,Milstein,1,L2,0.02225270617015884,cpu
0.5,-0.01125,0,0.1,0.1,Milstein,2,L1,0.010212564327778981,cpu
0.5,-0.01125,0,0.1,0.1,Milstein,2,L2,0.014867542467896446,cpu
0.5,-0.01125,0,0.1,0.1,Implicit,0,L1,nan,cpu
0.5,-0.01125,0,0.1,0.1,Implicit,0,L2,nan,cpu
0.5,-0.01125,0,0.1,0.1,Implicit,1,L1,nan,cpu
0.5,-0.01125,0,0.1,0.1,Implicit,1,L2,nan,cpu
0.5,-0.01125,0,0.1,0.1,Implicit,2,L1,nan,cpu
0.5,-0.01125,0,0.1,0.1,Implicit,2,L2,nan,cpu
0.5,-0.01125,0,0.1,0.06369047619047619,Splitting/Adaptive,0,L1,0.0015537058882379253,cpu
0.5,-0.01125,0,0.1,0.06369047619047619,Splitting/Adaptive,0,L2,0.0018621373411268462,cpu
0.5,-0.01125,0,0.1,0.06573725981620718,Splitting/Adaptive,1,L1,0.01828594167303877,cpu
0.5,-0.01125,0,0.1,0.06573725981620718,Splitting/Adaptive,1,L2,0.020350999263929803,cpu
0.5,-0.01125,0,0.1,0.055678104575163395,Splitting/Adaptive,2,L1,0.004614839141614346,cpu
0.5,-0.01125,0,0.1,0.055678104575163395,Splitting/Adaptive,2,L2,0.0056415397010744295,cpu
0.5,-0.01125,1,0.05,0.05,Fully Truncated,0,L1,0.0021349321647509386,cpu
0.5,-0.01125,1,0.05,0.05,Fully Truncated,0,L2,0.0024806760780721904,cpu
0.5,-0.01125,1,0.05,0.05,Fully Truncated,1,L1,0.026536376840720077,cpu
0.5,-0.01125,1,0.05,0.05,Fully Truncated,1,L2,0.03334002776086304,cpu
0.5,-0.01125,1,0.05,0.05,Fully Truncated,2,L1,0.008006458407695996,cpu
0.5,-0.01125,1,0.05,0.05,Fully Truncated,2,L2,0.011623467313759598,cpu
0.5,-0.01125,1,0.05,0.05,Projected,0,L1,0.22409121091691186,cpu
0.5,-0.01125,1,0.05,0.05,Projected,0,L2,0.22413224650663166,cpu
0.5,-0.01125,1,0.05,0.05,Projected,1,L1,0.2131967627536136,cpu
0.5,-0.01125,1,0.05,0.05,Projected,1,L2,0.21359925876413127,cpu
0.5,-0.01125,1,0.05,0.05,Projected,2,L1,0.25681737235277813,cpu
0.5,-0.01125,1,0.05,0.05,Projected,2,L2,0.25925102447823767,cpu
0.5,-0.01125,1,0.05,0.05,Milstein,0,L1,0.002518112915325614,cpu
0.5,-0.01125,1,0.05,0.05,Milstein,0,L2,0.0029666621385953007,cpu
0.5,-0.01125,1,0.05,0.05,Milstein,1,L1,0.009336778903001105,cpu
0.5,-0.01125,1,0.05,0.05,Milstein,1,L2,0.011775231155395062,cpu
0.5,-0.01125,1,0.05,0.05,Milstein,2,L1,0.00518546995326679,cpu
0.5,-0.01125,1,0.05,0.05,Milstein,2,L2,0.006787970335547467,cpu
0.5,-0.01125,1,0.05,0.05,Implicit,0,L1,nan,cpu
0.5,-0.01125,1,0.05,0.05,Implicit,0,L2,nan,cpu
0.5,-0.01125,1,0.05,0.05,Implicit,1,L1,nan,cpu
0.5,-0.01125,1,0.05,0.05,Implicit,1,L2,nan,cpu
0.5,-0.01125,1,0.05,0.05,Implicit,2,L1,nan,cpu
0.5,-0.01125,1,0.05,0.05,Implicit,2,L2,nan,cpu
0.5,-0.01125,1,0.05,0.03854813664596273,Splitting/Adaptive,0,L1,0.0013629018336852763,cpu
0.5,-0.01125,1,0.05,0.03854813664596273,Splitting/Adaptive,0,L2,0.00168553284785277,cpu
0.5,-0.01125,1,0.05,0.035449735449735446,Splitting/Adaptive,1,L1,0.009237040443617419,cpu
0.5,-0.01125,1,0.05,0.035449735449735446,Splitting/Adaptive,1,L2,0.012531541720763064,cpu
0.5,-0.01125,1,0.05,0.034384236453201975,Splitting/Adaptive,2,L1,0.0032597076489324682,cpu
0.5,-0.01125,1,0.05,0.034384236453201975,Splitting/Adaptive,2,L2,0.0039226937797059115,cpu
