regime,delta,sigma,seed,h_max,rho,n_steps,n_backstop_min,n_backstop_neg,backstop_kind
C,2.0,0.282842712474619,120339106,0.03125,64.0,485,55,0,implicit
E,0.24999999999999994,0.8,120339106,0.03125,64.0,750,367,5,projected
