level,h_mean,EA,EF_y,EF_x,IF,SIA,FT
4,0.008448596175549999,0.00033972955525147163,0.0003860086560647954,0.0007435448225965525,0.00035622284480697617,0.00017825767635226182,0.0007435448225965525
5,0.004236129568094682,0.00017873641424638153,0.0001985363084274575,0.0005091050063182923,0.000175127608717508,9.159566916214214e-05,0.0005091050063182923
6,0.0021217926933032763,8.969570962058883e-05,9.888566526069134e-05,0.0003455145021058329,8.594248530038862e-05,4.037361534240595e-05,0.0003455145021058329
7,0.0010616047956966692,4.7291849336071185e-05,4.914947697648696e-05,0.00022263681993378955,4.386957657020091e-05,3.726798724664184e-05,0.00022263681993378955
8,0.0005310362233299055,5.094145501381313e-05,0.00034500745978568694,0.000371461029969962,0.00034613934968301266,6.184231910613311e-05,0.000371461029969962
9,0.00026565049433736594,0.00012982446122334365,1.4001989003105181e-05,0.00012416811853022998,9.287207762109235e-06,6.776871203011749e-05,0.00012416811853022998
