backstop_fraction,dt,l1,l2,mean_steps_per_path,proj_post_projection_fraction,proj_pre_floor_fraction,proj_y_floor,reference,regime,runtime_s,scheme,scheme_variant
nan,0.0625,0.00989906208366907,0.017521169061265093,16.0,,,,HH,D,1.639361099805683,FTE,fixed
nan,0.03125,0.007831120131088845,0.013866284236047216,32.0,,,,HH,D,1.6054322000127286,FTE,fixed
nan,0.015625,0.006157626506524403,0.010898461106941574,64.0,,,,HH,D,1.325719800312072,FTE,fixed
nan,0.0078125,0.0048074502679335265,0.008501902459124085,128.0,,,,HH,D,1.130167399533093,FTE,fixed
nan,0.00390625,0.0038203869910336755,0.006747135389925491,256.0,,,,HH,D,1.1336891998071223,FTE,fixed
nan,0.001953125,0.002984813606754075,0.005370774524040233,512.0,,,,HH,D,1.5877166003920138,FTE,fixed
nan,0.0625,0.006563272406023307,0.009151472581476852,16.0,0.302028125,0.282425,0.0625,HH,D,1.628787999972701,ProjEuler,fixed
nan,0.03125,0.004391502171989396,0.00640556968099168,32.0,0.219334375,0.2118453125,0.04419417382415922,HH,D,1.4625047005247325,ProjEuler,fixed
nan,0.015625,0.00304607090894129,0.004625330812842864,64.0,0.16369453125,0.16083203125,0.03125,HH,D,1.3565010991878808,ProjEuler,fixed
nan,0.0078125,0.002166752670621594,0.0034085103529229856,128.0,0.123732421875,0.12263203125,0.02209708691207961,HH,D,1.112984300358221,ProjEuler,fixed
nan,0.00390625,0.0015599361524185566,0.00253257783859568,256.0,0.095184765625,0.0947556640625,0.015625,HH,D,1.4030548001173884,ProjEuler,fixed
nan,0.001953125,0.0011082377319919924,0.001866192123473476,512.0,0.0739033203125,0.07373701171875,0.011048543456039806,HH,D,2.044820199953392,ProjEuler,fixed
0.28396456242029794,0.0625,0.005657820972539497,0.01013091445632053,22.30965,,,,HH,D,13.912351799895987,KL,adaptive-soft-zero
0.23977455871297187,0.03125,0.0043216006763628825,0.007808178481088018,41.6339,,,,HH,D,12.489621799206361,KL,adaptive-soft-zero
0.2004024975881184,0.015625,0.003414830160518946,0.0063330676031301885,78.93215,,,,HH,D,14.30512660020031,KL,adaptive-soft-zero
0.1659457993666937,0.0078125,0.0026434977707336196,0.004937814036732591,151.38015,,,,HH,D,16.41260760044679,KL,adaptive-soft-zero
0.136105980880696,0.00390625,0.002079237369223188,0.003964533071880389,292.7094,,,,HH,D,16.38578739995137,KL,adaptive-soft-zero
0.11141891415961566,0.001953125,0.0016293076379182633,0.0031409868539671853,570.00735,,,,HH,D,19.52899550041184,KL,adaptive-soft-zero
0.35850995741620495,0.0625,0.0008411388097326293,0.001452956243930439,316.47015,,,,HH,D,18.07841999991797,KLM,projected
0.38014740320132884,0.03125,0.0005699298168716293,0.0010155799438576136,653.03195,,,,HH,D,21.935840899590403,KLM,projected
0.3967713532605477,0.015625,0.0003781633507226657,0.0007022070006062751,1342.4355,,,,HH,D,30.996174299856648,KLM,projected
0.4048120603683523,0.0078125,0.00024501094157063617,0.0004618023203674481,2763.47115,,,,HH,D,50.59520500013605,KLM,projected
0.4022248737753915,0.00390625,0.00013645583390801315,0.0002836893506242388,5748.2452,,,,HH,D,81.6653262001928,KLM,projected
0.3854462147656184,0.001953125,8.529253263427604e-05,0.00016431151175227662,12297.26955,,,,HH,D,152.70850009983405,KLM,projected
