kappa,a,grid_role,sigma,EA,EF,IF,SIA,FT
2.0,0.0,a0_diagnostic,0.0,0.8940290692352216,0.9722435692659059,0.9823645801191941,0.7882303895204811,0.9722435692659059
2.0,0.04,paper_grid,0.08944271909999159,0.3098445553146889,0.8275442224149495,0.9807364802073368,-0.045130893600421794,0.8275442224149495
2.0,0.8200000000000001,paper_grid,0.4049691346263318,-0.22063354756924874,0.6123723273280072,0.9485032033083542,-0.29940937585241806,0.5664302618925713
2.0,1.6,paper_grid,0.5656854249492381,-0.3708410253927061,0.5349705872017722,0.6853791744047768,-0.28141341271774184,0.5174731549391558
0.2,0.0,a0_diagnostic,0.0,-0.42624285727366623,0.8858038437541315,0.9902888051569307,-0.46578482334575083,0.8858038437541315
0.2,0.04,paper_grid,0.028284271247461905,-0.8904796694812568,0.658794242124517,0.9994301922315697,-0.9108252092338852,0.658794242124517
0.2,0.8200000000000001,paper_grid,0.128062484748657,-1.0931965779324389,0.5194927386950842,0.9706986584092053,-1.2889118550854912,0.5223887434670424
0.2,1.6,paper_grid,0.1788854381999832,-0.6516406134818542,0.5552492777033357,0.6984903580850699,-0.6178052243310294,0.5292189170288859
