regime,scheme,payoff,fitted_weak_order,n_points_used,n_points_total,local_slopes_fine_to_coarse
E,KL,g1,nan,2,6,noise;noise;noise;noise;0.45
E,KL,g2,0.9094517277137493,4,6,noise;noise;1.26;0.95;0.51
E,KL,g3,nan,2,6,noise;noise;noise;noise;0.39
E,KLM,g1,0.16449025714136278,6,6,0.28;0.07;0.23;0.15;0.12
E,KLM,g2,0.16728817027857373,6,6,0.57;-0.16;0.23;0.22;0.09
E,KLM,g3,0.16440427551261502,6,6,0.26;0.08;0.23;0.15;0.12
E,ProjEuler,g1,0.32456583805375394,6,6,0.23;0.31;0.28;0.38;0.43
E,ProjEuler,g2,0.3162157727334713,6,6,0.21;0.39;0.21;0.36;0.43
E,ProjEuler,g3,0.325133060147911,6,6,0.23;0.31;0.28;0.38;0.43
E,ProjEuler,g4,0.36002554087607563,6,6,0.23;0.32;0.36;0.40;0.47
