regime,n_paths,n_replicates,ks_mean,ks_sd,ks_p05,ks_p50,ks_p95,w1_mean,w1_sd,w1_p05,w1_p50,w1_p95
A,200000,200,0.0018681456782321893,0.0006166929312357598,0.0010611468695947064,0.001784667156107006,0.0030012996433454423,1.9446028304947714e-05,6.844698251996128e-06,1.1015368088078542e-05,1.834518473237217e-05,3.408843658733417e-05
C,200000,200,0.0019555980064681687,0.0005740731914797606,0.0011306050442988602,0.0019186610947644067,0.0030676915375526742,5.41484105630421e-05,1.7427517932542602e-05,3.3539939106491774e-05,5.0437144213616016e-05,9.005154807170682e-05
E,200000,200,0.001968983437109401,0.000594310693780987,0.0011410596279169904,0.0018337181506711542,0.0030950115660425648,0.00015677621083440957,5.995694129997942e-05,7.746740714749405e-05,0.00014352848751373514,0.0002725155925297546
