backstop_fraction,dt,l1,l2,mean_steps_per_path,proj_post_projection_fraction,proj_pre_floor_fraction,proj_y_floor,reference,reference_n_steps,regime,runtime_s,scheme,scheme_variant,sensitivity_kind
nan,0.03125,0.0006084204761286596,0.0008440043981040203,32.0,,,,HH,4096,C,0.004967699991539121,KL,uniform,strong_error
nan,0.015625,0.0003086731729544582,0.0004299389847226559,64.0,,,,HH,4096,C,0.0068194998893886805,KL,uniform,strong_error
nan,0.0078125,0.00016021301845100698,0.00022540575464020623,128.0,,,,HH,4096,C,0.009355900110676885,KL,uniform,strong_error
nan,0.00390625,8.19500240953141e-05,0.0001185682012639539,256.0,,,,HH,4096,C,0.01599270012229681,KL,uniform,strong_error
nan,0.001953125,4.156051592880374e-05,6.328216744928273e-05,512.0,,,,HH,4096,C,0.03362039988860488,KL,uniform,strong_error
0.057678339161134476,0.0625,9.172709898258306e-05,0.00013639337468334108,177.597,,,,HH,4096,C,0.2437766999937594,KLM,implicit,strong_error
0.053564903204614975,0.03125,4.624935697034409e-05,6.963799496862967e-05,365.3325,,,,HH,4096,C,0.2919606000650674,KLM,implicit,strong_error
0.048806743365723784,0.015625,2.2342573865711214e-05,3.350614525360113e-05,780.3225,,,,HH,4096,C,0.47112199990078807,KLM,implicit,strong_error
0.09178536873704989,0.0078125,1.2539673973812022e-05,2.0829064652269527e-05,1569.967,,,,HH,4096,C,0.6611702998634428,KLM,implicit,strong_error
0.187092663931742,0.00390625,8.906028863533802e-06,1.8751931129293156e-05,2939.1425,,,,HH,4096,C,1.0387636998202652,KLM,implicit,strong_error
0.499875722144656,0.001953125,8.834027587010464e-06,1.9699491769963126e-05,4041.3475,,,,HH,4096,C,2.468324000015855,KLM,implicit,strong_error
nan,0.0625,0.010325284206848653,0.017623479958135235,16.0,,,,HH,4096,D,0.011336399940773845,FTE,fixed,strong_error
nan,0.03125,0.008206099247115723,0.01480088350314791,32.0,,,,HH,4096,D,0.007940900046378374,FTE,fixed,strong_error
nan,0.015625,0.006496966807900027,0.01117301708849474,64.0,,,,HH,4096,D,0.021343600004911423,FTE,fixed,strong_error
nan,0.0078125,0.004947822953906428,0.00864252718478693,128.0,,,,HH,4096,D,0.03457899997010827,FTE,fixed,strong_error
nan,0.00390625,0.00383245824998838,0.006702322705659347,256.0,,,,HH,4096,D,0.03913239995017648,FTE,fixed,strong_error
nan,0.001953125,0.0029949766649202177,0.005416071096154038,512.0,,,,HH,4096,D,0.05423990008421242,FTE,fixed,strong_error
nan,0.0625,0.006170360862347155,0.008596242647492223,16.0,0.301625,0.28190625,0.0625,HH,4096,D,0.017508199904114008,ProjEuler,fixed,strong_error
nan,0.03125,0.004072453106279275,0.005972217487047391,32.0,0.218484375,0.211109375,0.04419417382415922,HH,4096,D,0.020426200004294515,ProjEuler,fixed,strong_error
nan,0.015625,0.0027449894863591897,0.004215015781868408,64.0,0.1632734375,0.16040625,0.03125,HH,4096,D,0.011133000021800399,ProjEuler,fixed,strong_error
nan,0.0078125,0.0018285516860568646,0.0029391125427994202,128.0,0.12394921875,0.12280859375,0.02209708691207961,HH,4096,D,0.02737089991569519,ProjEuler,fixed,strong_error
nan,0.00390625,0.001248095296237969,0.0020487535634104046,256.0,0.0955078125,0.095064453125,0.015625,HH,4096,D,0.03332110005430877,ProjEuler,fixed,strong_error
nan,0.001953125,0.0007932163854978095,0.0013000347956498052,512.0,0.074287109375,0.0741142578125,0.011048543456039806,HH,4096,D,0.06919130007736385,ProjEuler,fixed,strong_error
0.287483542721978,0.0625,0.005930884622887367,0.010849609382892648,22.4065,,,,HH,4096,D,0.10454929992556572,KL,adaptive-soft-zero,strong_error
0.24155476353337893,0.03125,0.004284448650547874,0.007634570376215221,41.6655,,,,HH,4096,D,0.1265672999434173,KL,adaptive-soft-zero,strong_error
0.20043009115648847,0.015625,0.003545102216301411,0.00634346683896019,78.8205,,,,HH,4096,D,0.15431970008648932,KL,adaptive-soft-zero,strong_error
0.16410079529851884,0.0078125,0.0027748120411318885,0.00508899112414286,150.761,,,,HH,4096,D,0.19693509978242218,KL,adaptive-soft-zero,strong_error
